policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00081920_R76.38_SR1.000_LD0.04081_CM0.00094__2026-08-07_11-34-06.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.1234131113423516,True,False,8,1.0046468304018894,tli_only_done
Model__stage01_step00086016_R76.38_SR1.000_LD0.03843_CM0.00112__2026-08-07_11-34-27.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.1234131113423516,True,False,8,1.004648141196426,tli_only_done
Model__stage01_step00090112_R76.38_SR1.000_LD0.03489_CM0.00031__2026-08-07_11-34-49.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.123413111342352,True,False,8,1.0046502026677315,tli_only_done
Model__stage01_step00094208_R76.38_SR1.000_LD0.03306_CM0.00098__2026-08-07_11-35-09.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.123413111342352,True,False,8,1.0046512357921755,tli_only_done
Model__stage01_step00098304_R76.38_SR1.000_LD0.03178_CM0.00075__2026-08-07_11-35-31.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.1234131113423516,True,False,8,1.0046519591367038,tli_only_done
Model__stage01_step00102400_R76.38_SR1.000_LD0.02977_CM0.00115__2026-08-07_11-35-51.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.1234131113423516,True,False,8,1.004653143016239,tli_only_done
Model__stage01_step00106496_R76.38_SR1.000_LD0.02836_CM0.00067__2026-08-07_11-36-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.1234131113423516,True,False,8,1.004654009287854,tli_only_done
Model__stage01_step00110592_R76.38_SR1.000_LD0.02749_CM0.00050__2026-08-07_11-36-30.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.123413111342352,True,False,8,1.0046545482161167,tli_only_done
Model__stage01_step00114688_R76.38_SR1.000_LD0.02685_CM0.00087__2026-08-07_11-36-51.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.1234131113423516,True,False,8,1.0046549418679203,tli_only_done
Model__stage01_step00118784_R76.38_SR1.000_LD0.02626_CM0.00114__2026-08-07_11-37-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,41.37531737773153,3.123413111342352,True,False,8,1.0046553065915225,tli_only_done
