policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage01_step00098304_R139.38_SR1.000_LD0.01048_CM0.00000__2026-08-07_11-35-20.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.004122084455571,tli_only_done
Model__stage01_step00102400_R139.38_SR1.000_LD0.00992_CM0.00000__2026-08-07_11-35-42.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0041224579375208,tli_only_done
Model__stage01_step00106496_R139.38_SR1.000_LD0.01025_CM0.00000__2026-08-07_11-36-05.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0041222579222058,tli_only_done
Model__stage01_step00110592_R139.38_SR1.000_LD0.00960_CM0.00000__2026-08-07_11-36-23.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0041226871243358,tli_only_done
Model__stage01_step00114688_R139.38_SR1.000_LD0.00929_CM0.00000__2026-08-07_11-36-47.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.1234131113423516,True,False,8,1.0041229084480363,tli_only_done
Model__stage01_step00118784_R139.38_SR1.000_LD0.00851_CM0.00000__2026-08-07_11-37-11.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.00412344689472,tli_only_done
Model__stage01_step00122880_R139.38_SR1.000_LD0.00877_CM0.00000__2026-08-07_11-37-35.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.0041233272226473,tli_only_done
Model__stage01_step00126976_R139.38_SR1.000_LD0.00784_CM0.00000__2026-08-07_11-37-57.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.004123961542238,tli_only_done
policy_BEST_Model__stage01_step00126976_R139.38_SR1.000_LD0.00784_CM0.00000__2026-08-07_11-37-57.zip,tli,ppo_a_stage_3_staged_tli_refinment,True,139.37531737773153,3.123413111342352,True,False,8,1.004123961542238,tli_only_done
Model__stage01_step00139264_R139.38_SR0.000_LD0.00758_CM0.00021__2026-08-07_11-39-00.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,139.37531732994196,3.1234131113423516,False,False,8,1.0041241046502323,tli_only_done
Model__stage01_step00135168_R139.36_SR0.000_LD0.00727_CM0.00721__2026-08-07_11-38-39.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,139.36403544475252,3.123413111342352,False,False,8,1.004124279774404,tli_only_done
Model__stage01_step00212992_R138.53_SR0.000_LD0.00663_CM0.02482__2026-08-07_11-44-48.zip,tli,ppo_a_stage_3_staged_tli_refinment,False,138.52882215502584,3.1234131113423516,False,False,8,1.0041250706846498,tli_only_done
