policy,agent,stage,success,reward_sum,dv_used,ballistic_tli_corridor_hit,flyby_done,n_burns,min_rM,term_reason
Model__stage03_step00413696_R-0.52_SR0.000_LD0.05326_CM0.49686__2026-08-07_12-30-21.zip,mcc,ppo_b_dv_refine_final,False,-0.5227656816464048,0.02125320537475985,False,True,15,0.053262211421842766,timeout
Model__stage03_step00417792_R-1.04_SR0.000_LD0.05454_CM0.47026__2026-08-07_12-30-38.zip,mcc,ppo_b_dv_refine_final,False,-1.04153897715271,0.022416361396054088,False,True,15,0.05454062869635185,timeout
Model__stage03_step00577536_R-2.90_SR0.000_LD0.03284_CM0.92830__2026-08-07_12-45-04.zip,mcc,ppo_b_dv_refine_final,False,-2.903407104768979,0.025269230702215928,False,True,15,0.03283645459945201,timeout
Model__stage03_step00528384_R-3.59_SR0.000_LD0.04613_CM0.67312__2026-08-07_12-40-39.zip,mcc,ppo_b_dv_refine_final,False,-3.589881508290704,0.02677565783060578,False,True,15,0.046129255137852675,timeout
Model__stage03_step00532480_R-3.97_SR0.000_LD0.04045_CM0.81227__2026-08-07_12-41-01.zip,mcc,ppo_b_dv_refine_final,False,-3.9730814565306467,0.027405040925996754,False,True,15,0.04045316390099944,timeout
Model__stage03_step00466944_R-4.01_SR0.000_LD0.05004_CM0.58196__2026-08-07_12-35-01.zip,mcc,ppo_b_dv_refine_final,False,-4.012771946394462,0.027764491891217085,False,True,15,0.050041288018457024,timeout
Model__stage03_step00458752_R-4.08_SR0.000_LD0.05568_CM0.44778__2026-08-07_12-34-18.zip,mcc,ppo_b_dv_refine_final,False,-4.083722872667879,0.028515423543789414,False,True,15,0.05568312546026888,timeout
Model__stage03_step00454656_R-4.15_SR0.000_LD0.05301_CM0.51586__2026-08-07_12-33-53.zip,mcc,ppo_b_dv_refine_final,False,-4.150378032092979,0.02824750888772972,False,True,15,0.053005951621323794,timeout
Model__stage03_step00487424_R-4.27_SR0.000_LD0.04656_CM0.66478__2026-08-07_12-36-51.zip,mcc,ppo_b_dv_refine_final,False,-4.2692348553528365,0.028112818601712376,False,True,15,0.04655968193486626,timeout
Model__stage03_step00516096_R-4.41_SR0.000_LD0.04314_CM0.75040__2026-08-07_12-39-32.zip,mcc,ppo_b_dv_refine_final,False,-4.412395903455636,0.028303417563843563,False,True,15,0.0431380253864543,timeout
Model__stage03_step00581632_R-5.03_SR0.000_LD0.02115_CM0.95866__2026-08-07_12-45-26.zip,mcc,ppo_b_dv_refine_final,False,-5.030786619860871,0.029413634462639365,False,True,15,0.021154510638492947,timeout
Model__stage03_step00450560_R-5.07_SR0.000_LD0.05599_CM0.44433__2026-08-07_12-33-32.zip,mcc,ppo_b_dv_refine_final,False,-5.065310917982599,0.03045949041893924,False,True,15,0.05599352511390952,timeout
Model__stage03_step00495616_R-5.13_SR0.000_LD0.03692_CM0.91064__2026-08-07_12-37-36.zip,mcc,ppo_b_dv_refine_final,False,-5.133679902320326,0.02962858569521889,False,True,15,0.03692186362798836,timeout
Model__stage03_step00483328_R-5.42_SR0.000_LD0.04704_CM0.65600__2026-08-07_12-36-28.zip,mcc,ppo_b_dv_refine_final,False,-5.418430895739537,0.030368450822501454,False,True,15,0.047040359679493465,timeout
Model__stage03_step00491520_R-5.42_SR0.000_LD0.04695_CM0.65720__2026-08-07_12-37-12.zip,mcc,ppo_b_dv_refine_final,False,-5.421086654323602,0.03037191780206583,False,True,15,0.046953969099963334,timeout
Model__stage03_step00536576_R-5.76_SR0.000_LD0.04872_CM0.61335__2026-08-07_12-41-25.zip,mcc,ppo_b_dv_refine_final,False,-5.760632963791043,0.031107860547201237,False,True,15,0.04871849741202873,timeout
Model__stage03_step00573440_R-5.86_SR0.000_LD0.03151_CM0.93197__2026-08-07_12-44-42.zip,mcc,ppo_b_dv_refine_final,False,-5.858081758269806,0.031036050679628478,False,True,15,0.03150623985961745,timeout
Model__stage03_step00503808_R-5.90_SR0.000_LD0.04584_CM0.68661__2026-08-07_12-38-24.zip,mcc,ppo_b_dv_refine_final,False,-5.899097592371129,0.031267041046500535,False,True,15,0.045842513940565904,timeout
Model__stage03_step00585728_R-6.13_SR0.000_LD0.02123_CM0.95802__2026-08-07_12-45-50.zip,mcc,ppo_b_dv_refine_final,False,-6.131127297185227,0.03156181150439998,False,True,15,0.02122938945017033,timeout
Model__stage03_step00569344_R-6.41_SR0.000_LD0.03071_CM0.93389__2026-08-07_12-44-21.zip,mcc,ppo_b_dv_refine_final,False,-6.406369998727261,0.03210581736002601,False,True,15,0.03071204950316983,timeout
Model__stage03_step00565248_R-7.23_SR0.000_LD0.03642_CM0.92152__2026-08-07_12-44-00.zip,mcc,ppo_b_dv_refine_final,False,-7.233266022644452,0.03372377187589356,False,True,15,0.03642002759426001,timeout
Model__stage03_step00499712_R-7.31_SR0.000_LD0.03967_CM0.84122__2026-08-07_12-38-03.zip,mcc,ppo_b_dv_refine_final,False,-7.31397912667825,0.033912190632300915,False,True,15,0.03967178327064541,timeout
Model__stage03_step00512000_R-8.07_SR0.000_LD0.04274_CM0.76652__2026-08-07_12-39-09.zip,mcc,ppo_b_dv_refine_final,False,-8.071376283943668,0.03543416484535005,False,True,15,0.042740401676169805,timeout
Model__stage03_step00479232_R-8.28_SR0.000_LD0.04852_CM0.62532__2026-08-07_12-36-06.zip,mcc,ppo_b_dv_refine_final,False,-8.282792073905725,0.03600918637075726,False,True,15,0.04851886268120558,timeout
Model__stage03_step00548864_R-8.45_SR0.000_LD0.03970_CM0.83996__2026-08-07_12-42-34.zip,mcc,ppo_b_dv_refine_final,False,-8.446824298120063,0.036124250139439214,False,True,15,0.03969915154607273,timeout
PPOB__model_final__2026-08-07_12-47-21.zip,mcc,ppo_b_dv_refine_final,False,-8.62469421365617,0.036434268221269196,False,True,15,0.02749872269256126,timeout
policy_FINAL_PPOB__model_final__2026-08-07_12-47-21.zip,mcc,ppo_b_dv_refine_final,False,-8.62469421365617,0.036434268221269196,False,True,15,0.02749872269256126,timeout
Model__stage03_step00552960_R-8.78_SR0.000_LD0.03949_CM0.84812__2026-08-07_12-42-56.zip,mcc,ppo_b_dv_refine_final,False,-8.784102512971247,0.036778883665043595,False,True,15,0.03948625534092737,timeout
Model__stage03_step00520192_R-9.05_SR0.000_LD0.03887_CM0.86427__2026-08-07_12-39-54.zip,mcc,ppo_b_dv_refine_final,False,-9.054577533107755,0.03729987472415647,False,True,15,0.03886997527459576,timeout
