tag,status,wall_s,final_step,success_rate,block,config,seed,attempt,finished_at,error
MCC-4_seed1000,ok,4321.4,602112,0.0,headline,configs/headline/MCC-4.yaml,1000,1,2026-08-07T15:40:33,
no_lstm_mcc_seed1,ok,4332.1,602112,1.0,ablation,configs/ablation/no_lstm_mcc.yaml,1,1,2026-08-07T15:40:45,
no_lstm_mcc_seed1000,ok,4383.6,602112,1.0,ablation,configs/ablation/no_lstm_mcc.yaml,1000,1,2026-08-07T15:41:35,
no_lstm_mcc_seed0,ok,4399.9,602112,1.0,ablation,configs/ablation/no_lstm_mcc.yaml,0,1,2026-08-07T15:41:51,
MCC-4_seed1,ok,4402.5,602112,0.0,headline,configs/headline/MCC-4.yaml,1,1,2026-08-07T15:41:55,
MCC-5_seed0,ok,4460.9,602112,0.0,headline,configs/headline/MCC-5.yaml,0,1,2026-08-07T15:42:53,
MCC-1_seed1,ok,4505.8,602112,1.0,headline,configs/headline/MCC-1.yaml,1,1,2026-08-07T15:43:37,
MCC-2_seed0,ok,4533.2,602112,1.0,headline,configs/headline/MCC-2.yaml,0,1,2026-08-07T15:44:05,
MCC-1_seed0,ok,4535.9,602112,1.0,headline,configs/headline/MCC-1.yaml,0,1,2026-08-07T15:44:07,
MCC-2_seed1000,ok,4535.2,602112,1.0,headline,configs/headline/MCC-2.yaml,1000,1,2026-08-07T15:44:07,
MCC-5_seed1000,ok,4536.9,602112,0.0,headline,configs/headline/MCC-5.yaml,1000,1,2026-08-07T15:44:09,
MCC-1_seed1000,ok,4538.9,602112,1.0,headline,configs/headline/MCC-1.yaml,1000,1,2026-08-07T15:44:11,
MCC-2_seed1,ok,4561.1,602112,1.0,headline,configs/headline/MCC-2.yaml,1,1,2026-08-07T15:44:33,
MCC-3_seed1,ok,4565.0,602112,1.0,headline,configs/headline/MCC-3.yaml,1,1,2026-08-07T15:44:37,
MCC-5_seed1,ok,4571.0,602112,1.0,headline,configs/headline/MCC-5.yaml,1,1,2026-08-07T15:44:43,
MCC-3_seed0,ok,4607.5,602112,1.0,headline,configs/headline/MCC-3.yaml,0,1,2026-08-07T15:45:19,
tausweep_mcc_d3000_seed1000,ok,4613.3,602112,1.0,ablation,configs/ablation/tausweep_mcc_d3000.yaml,1000,1,2026-08-07T15:45:25,
MCC-noise_seed1,ok,4713.5,602112,0.25,noise,configs/noise/MCC-noise.yaml,1,1,2026-08-07T15:47:05,
MCC-noise_seed1000,ok,4740.0,602112,0.25,noise,configs/noise/MCC-noise.yaml,1000,1,2026-08-07T15:47:31,
MCC-noise_seed0,ok,4753.7,602112,0.25,noise,configs/noise/MCC-noise.yaml,0,1,2026-08-07T15:47:45,
no_time_discount_mcc_seed1,ok,5000.2,602112,0.0,ablation,configs/ablation/no_time_discount_mcc.yaml,1,1,2026-08-07T15:51:51,
no_time_discount_mcc_seed0,ok,5069.3,602112,0.0,ablation,configs/ablation/no_time_discount_mcc.yaml,0,1,2026-08-07T15:53:01,
no_time_discount_mcc_seed1000,ok,5153.6,602112,0.0,ablation,configs/ablation/no_time_discount_mcc.yaml,1000,1,2026-08-07T15:54:26,
